text,label
дбрый денчк,1
преветики,1
дн добр,1
здров будь,1
здровчик,1
здрова,1
дбрый день,1
дбрый дн,1
хорошчего днечка,1
хршо дн,1
клвого дня,1
дн классн,1
добрик дн,1
добдр день,1
прывт,1
здрввй,1
добря днчк,1
все гуд,1
добр деню,1
здрасте,1
здрасти,1
здрастичк,1
клсного дн,1
прывет,1
здрова булк,1
здоровчай,1
добж ден,1
добрк дн,1
клсн дн,1
добре дн,1
славн дн,1
хрший день,1
добре день,1
суперчк,1
клсик день,1
добрищ дн,1
дбррр дн,1
здрастчко,1
прыгож ден,1
добрчек дн,1
дбро ден,1
счсть дн,1
деньчег добр,1
свтл дн,1
солнц дн,1
деньчк топ,1
здоровачк,1
бодр ден,1
день кайф,1
клсик днчк,1
дброе утр,1
дбр утрчк,1
утричк,1
дбр утр!,1
доб утр!,1
дбр утрё!,1
добро утрю,1
дброе утре!,1
добр уто,1
утр добр,1
дбр утрчо,1
добро утрк,1
дбр утрик,1
дбр утроо,1
дбр утре,1
дбр утрешк,1
дбр утрщк,1
добро утрик!,1
дбр утршко,1
дбр утрй,1
дброе утрчко,1
утре доб,1
дбр утыр,1
утрщк,1
добро уто!,1
дбр утро!,1
дбр утрч,1
добро утрикчк,1
дб утр,1
добру утр!,1
дбр утрчкчк,1
дброе утрк,1
утрррчко,1
дбрр утр,1
утреечк!,1
дбрее утр,1
дбр утришк,1
дбр утроооо,1
дбро уто,1
дбр утоо,1
доб утрчк,1
дбр утрчко,1
дбрее утро,1
утрречк,1
утря,1
дб утро,1
утрошка,1
добро утик,1
дбр утр,1
дбр утреч,1
Добр утр!,1
Добро утречк!,1
Утречко!,1
Доброго утр!,1
Доброе утрё!,1
Добр утречко!,1
С добр утр!,1
Утречк!,1
Добр утро!,1
Доб утр!,1
Доброго утра!,1
Добро утрооо!,1
Добр утречк!,1
Утро доброе!,1
Добро утреч!,1
Добр утрёчко!,1
Доброе утришко!,1
Добр уто!,1
Утро добро!,1
Добро утрёчк!,1
Добро утроо!,1
Добр утроо!,1
Добро утрик!,1
Доброго утришка!,1
Добро утри!,1
Утречк доброе!,1
Добр утрё!,1
Добро утришко!,1
Добр утре!,1
Добро утри!,1
Доброе утро!,1
Желаю тебе прекрасного утра!,1
Пусть этот день начнётся с улыбки,1
С добрым утром и отличного дня!,1
Пусть утро будет лёгким и приятным,1
Просыпайся и наслаждайся утром!,1
Пусть сегодня утром будет тепло и светло,1
Желаю бодрого утра и хорошего настроения,1
Доброе утро солнце!,1
Пусть этот день начнётся с радости,1
Светлого утра тебе!,1
Пусть утро будет полным вдохновения,1
Желаю бодрости и позитива,1
Пусть утро подарит тебе силы,1
Доброе утро пусть день будет удачным,1
Солнечного утра и отличного настроения!,1
Пусть утро будет добрым и светлым,1
Желаю отличного старта дня,1
Пусть это утро будет волшебным,1
Пробуждайся с улыбкой!,1
Желаю лёгкого и приятного утра,1
Пусть утро наполнится счастьем,1
Доброе утро желаю тепла и уюта!,1
Пусть сегодняшний день начнётся с добра,1
Желаю хорошего утра и отличного дня!,1
Пусть утро будет свежим и ярким,1
Доброе утро наслаждайся каждым моментом!,1
Пусть утро подарит вдохновение,1
С добрым утром и позитивом!,1
Желаю яркого и тёплого утра,1
Пусть утро будет лёгким и радостным,1
Доброе утро пусть сбудутся мечты,1
Желаю удачного и доброго утра,1
Пусть это утро будет началом чего-то прекрасного,1
Доброе утро желаю гармонии и мира,1
Пусть утро будет светлым и радостным,1
Желаю бодрости и энергии,1
С добрым утром пусть день будет успешным!,1
Пусть утро подарит тебе вдохновение и силы,1
Доброе утро желаю тепла в душе!,1
Пусть этот день начнётся с улыбки и радости,1
Желаю лёгкого и доброго утра,1
Пусть утро наполнится светом и любовью,1
Доброе утро желаю спокойствия и счастья,1
Пусть утро будет приятным и бодрым,1
Желаю хорошего начала дня,1
Доброе утро пусть день будет плодотворным,1
Пусть утро подарит силы и вдохновение,1
Желаю отличного настроения с утра,1
Пусть это утро будет началом успеха,1
Доброе утро желаю радости и тепла,1
Пусть утро будет полным энергии и счастья,1
Утро,1
Утра,1
Утру,1
Утрешко,1
Утречка,1
Утречку,1
Утров,1
Доброе утро,1
Добрый день,1
Доброго времени суток,1
Доброе утро секретари,1
Доброе утро чатик,1
Доброе утро вкл,1
Утречко,1
Всем Доброе утро,1
Доброе утро солнышки,1
Утрещке,1
Утрещко,1
Утрещкооо,1
Добрутр,1
Добр утр,1
Доброе обедовое час,1
Утра,1
Утро доброе,1
Good Morning,1
Утрешко доброе,1 
Обнимаю всех,1
Доброго утречка чатик-с я правда опять ещё не ложился,1
Всем удачного денёчка и хорошего настроения,1
Он вскочил с постели и сразу же рухнул опять,0
Затем обратился к туристам,0
Вот завтрак ваш,0
Даже в полевых условиях соблюдаем рацион,0
Никого не трогаю,0
вывалились из палатки подышать свежим воздухом,0
не люблю арбуз в нём одни косточки,0
Получается мем а не бросить ли мне все и,0
Пока,0
А хотелось рыбовк поймать,0
Состояние по жизни,0
Виднее когда работать,0
С трёх часов ночи не спал,0
Сижу сейчас на остановке и думаю,0
было ли фатальной ошибкой соглашаться,0
на сегодняшнюю подработку,0
что будет не легкий просмотр киношек,0
Сегодня хорошая погода,0
Я иду в магазин,0
Как прошёл твой день?,0
Мне нужно закончить работу,0
Ты видел новый фильм?,0
Завтра будет дождь,0
Я люблю читать книги,0
Давай встретимся вечером,0
У меня болит голова,0
Пойдем в спортзал,0
Кофе закончился,0
Я изучаю математику,0
Это слишком дорого,0
Сегодня хорошая погода,0
Я иду в магазин,0
Как прошёл твой день?,0
Мне нужно закончить работу,0
Ты видел новый фильм?,0
Завтра будет дождь,0
Я люблю читать книги,0
Давай встретимся вечером,0
У меня болит голова,0
Пойдем в спортзал,0
Кофе закончился,0
Я изучаю математику,0
Это слишком дорого,0
Мы поедем в отпуск летом,0
Он пришёл домой поздно,0
Сегодня уроки были сложные,0
Я смотрел футбол вчера,0
Она готовит вкусный ужин,0
Мы встретились в кафе,0
Мне нравится эта песня,0
Я потерял ключи от машины,0
Они живут рядом с парком,0
Он купил новую книгу,0
Мне нужно постирать одежду,0
Сегодня холодно и ветрено,0
Я играю на гитаре,0
Мы заказали пиццу на ужин,0
Она работает в банке,0
Я учусь в университете,0
Мы смотрели сериал вечером,0
Он бегает каждое утро,0
Мне нравится плавать в бассейне,0
Сегодня был интересный день,0
Она пишет письмо другу,0
Мы обсуждали планы на выходные,0
Он поехал в командировку,0
Я забыл выключить свет,0
Она рисует красивые картины,0
Мы играли в шахматы,0
Мне нужно сделать домашнее задание,0
Сегодня я встретил старого друга,0
Он слушает музыку,0
Мы гуляли по парку,0
Я приготовил ужин,0
Она читает книгу,0
Мы посмотрели новый фильм,0
Он занимается спортом,0
Мне нравится эта игра,0
Сегодня я ездил на велосипеде,0
Она купила цветы,0
Мы пошли в музей,0
Сегодня пасмурно,0
Мне нужно идти на работу,0
Как прошли выходные?,0
У меня болит зуб,0
Ты хочешь пойти в кино?,0
Завтра будет сильный ветер,0
Я люблю смотреть сериалы,0
Давай поедем на дачу,0
У меня сломался компьютер,0
Пойдем гулять вечером,0
Чай закончился,0
Я изучаю программирование,0
Это слишком дорого для меня,0
Мы планируем отпуск в сентябре,0
Он пришёл домой очень поздно,0
Сегодня уроки были очень сложные,0
Я смотрел баскетбол вчера,0
Она готовит обед,0
Мы встретились в кафе вчера,0
Мне нравится эта песня,0
Я потерял свой телефон,0
Они живут далеко от города,0
Он купил новую машину,0
Мне нужно постирать вещи,0
Сегодня холодно и идёт дождь,0
Я играю на пианино,0
Мы заказали суши на ужин,0
Она работает в больнице,0
Я учусь в колледже,0
Мы смотрели спектакль,0
у меня не работает микроволновка,0
вчера был сильный дождь,0
я купил новый блокнот,0
машина не заводится с утра,0
в холодильнике закончилось молоко,0
вчерашний матч закончился ничьей,0
где находится ближайшая аптека,0
это не моя чашка,0
дверь скрипит уже неделю,0
на полу валяется бумага,0
вода в кране еле течёт,0
я слышал странный шум,0
компьютер не включается,0
лампа мигает без причины,0
обои отклеиваются в углу,0
на полу следы от ботинок,0
я забыл выключить плиту,0
посуда осталась в раковине,0
чайник перегорел вчера,0
у лифта оборвался голос,0
кабель лежит под столом,0
в ящике нет ложек,0
книга оказалась скучной,0
клавиши залипают при наборе,0
носки все пропали,0
я не могу найти зонт,0
на полке пусто,0
бутылка упала и разбилась,0
на диване пятно,0
запах гари с улицы,0
шум с соседнего балкона,0
кошелёк забыл дома,0
в кармане была мелочь,0
куртка висит на двери,0
не хватает бумаги в принтере,0
окно открылось само,0
собака лает без остановки,0
мусор ещё не вынесен,0
в шкафу беспорядок,0
кнопка заела опять,0
телефон разрядился ночью,0
пульт не реагирует,0
где лежит зарядка,0
новости опять про одно и то же,0
где чек от магазина,0
вода на полу,0
пачка риса порвалась,0
стакан был треснутый,0
когда отключат отопление,0
всё испачкано краской,0
бутерброды закончились,0
краны текут снова,0
коробка слишком тяжёлая,0
ящик не открывается,0
ковёр свернулся,0
в кладовке темно,0
паутина на потолке,0
шкаф не влезает,0
вилка погнулась,0
пропал интернет,0
забыл пароль от роутера,0
на стене трещина,0
весы показывают ошибку,0
мышь пропала со стола,0
телевизор пишет нет сигнала,0
грелка прохудилась,0
вода осталась на полу,0
разбилась лампочка,0
часы остановились,0
лампочка не горит,0
вентилятор шумит странно,0
за окном крики,0
в пакете была дыра,0
хлеб засох,0
печенье размокло,0
тарелки перепутались,0
окно дует,0
в подвале пахнет сыростью,0
на стуле пятно,0
гвоздь торчит из стены,0
в ванной темно,0
краска облезла,0
плитка откололась,0
батарея холодная,0
бумага закончилась,0
в комнате жарко,0
рукавица порвалась,0
кот уронил кружку,0
кофе вылился на стол,0
коврик скользит,0
кран свистит,0
перчатка одна,0
обувь промокла,0
лампа не включается,0
подушка упала с кровати,0
удача редко приходит дважды,0
это просто случайная удача,0
не верю в удачу полагаюсь на расчёт,0
удача была не на нашей стороне,0
его подвела удача в самый ответственный момент,0